,away_team_runs,b,b_height,batter,des,des_es,end_tfs_zulu,event,event_es,event_num,home_team_runs,num,o,p_throws,pitcher,play_guid,s,score,stand,start_tfs,start_tfs_zulu
0,0,1,6-0,446359,Zack Cozart strikes out swinging.  ,Zack Cozart se poncha tirándole.  ,2018-03-29T20:09:04Z,Strikeout,Ponche,9,0,1,1,R,608665,bb875f5c-3ebb-435a-9be6-11bf763cb600,3,,R,200720,2018-03-29T20:07:20Z
1,0,1,6-2,545361,"Mike Trout grounds out, shortstop Marcus Semien to first baseman Matt Olson.  ","Mike Trout batea rodado de out, campo corto Marcus Semien a primera base Matt Olson.  ",2018-03-29T20:10:34Z,Groundout,Roletazo de Out,16,0,2,2,R,608665,df1cdcac-ca38-41ad-a953-1f8cfa566ee6,2,,R,200919,2018-03-29T20:09:19Z
2,0,2,6-2,457708,Justin Upton pops out to first baseman Matt Olson in foul territory.  ,Justin Upton batea elevadito de out a primera base Matt Olson en territorio de foul.  ,2018-03-29T20:12:20Z,Pop Out,Elevado de Out,24,0,3,3,R,608665,6d44e3a3-f958-4dab-b169-1ca18daca2ea,2,,R,201043,2018-03-29T20:10:43Z
3,0,0,6-2,459964,Matt Joyce singles on a soft ground ball to pitcher Garrett Richards.  ,Matt Joyce pega sencillo con rodado suave a lanzador Garrett Richards.  ,2018-03-29T20:15:19Z,Single,Sencillo,29,0,4,0,R,572070,d344bdfe-a037-4bab-84aa-503a10b284cd,0,,L,201422,2018-03-29T20:14:22Z
4,0,1,6-0,543760,Marcus Semien singles on a line drive to center fielder Mike Trout.   Matt Joyce to 3rd.  ,Marcus Semien pega sencillo con línea a jardinero central Mike Trout.   Matt Joyce a 3ra.  ,2018-03-29T20:16:29Z,Single,Sencillo,36,0,5,0,R,572070,512b9193-27e9-4469-8919-f151d42b293c,0,,R,201527,2018-03-29T20:15:27Z
5,0,2,6-0,476704,"Jed Lowrie reaches on a fielder's choice out, first baseman Albert Pujols to catcher Martin Maldonado.   Matt Joyce out at home.    Marcus Semien to 2nd.  ","Jed Lowrie se embasa por out en jugada de selección, primera base Albert Pujols a receptor Martin Maldonado.   Matt Joyce a cabo a home.    Marcus Semien a 2da.  ",2018-03-29T20:20:01Z,Fielders Choice Out,Out en Jugada de Selección,46,0,6,1,R,572070,fa310039-159f-41e2-8a4a-8f59a73ab26a,2,,L,201637,2018-03-29T20:16:37Z
6,0,0,5-10,501981,Khris Davis flies out to right fielder Kole Calhoun.  ,Khris Davis batea elevado de out a jardinero derecho Kole Calhoun.  ,2018-03-29T20:23:04Z,Flyout,Elevado de Out,53,0,7,2,R,572070,e0f172d4-04d6-4fed-ba0b-23777ef26865,2,,R,202008,2018-03-29T20:20:08Z
7,0,3,6-5,621566,Matt Olson strikes out swinging.  ,Matt Olson se poncha tirándole.  ,2018-03-29T20:27:21Z,Strikeout,Ponche,62,0,8,3,R,572070,cf167f42-f5c3-49b1-85f2-ff7bd8b94363,3,,L,202317,2018-03-29T20:23:17Z
8,0,0,6-3,405395,Albert Pujols flies out to right fielder Stephen Piscotty.  ,Albert Pujols batea elevado de out a jardinero derecho Stephen Piscotty.  ,2018-03-29T20:30:14Z,Flyout,Elevado de Out,70,0,9,1,R,608665,6de64bb1-68bd-49eb-8ed9-6cdf343eda30,2,,R,202907,2018-03-29T20:29:07Z
9,0,1,5-10,594777,Kole Calhoun triples (1) on a sharp fly ball to center fielder Boog Powell.  ,Kole Calhoun pega triple (1) con elevado fuerte al jardinero central Boog Powell.  ,2018-03-29T20:32:14Z,Triple,Triple,77,0,10,1,R,608665,8b04d856-17ca-4983-885b-af20fb6603b0,2,,L,203024,2018-03-29T20:30:24Z
10,1,1,6-2,592743,Andrelton Simmons singles on a ground ball to center fielder Boog Powell.   Kole Calhoun scores.  ,Andrelton Simmons pega sencillo con rodado a jardinero central Boog Powell.   Kole Calhoun anota.  ,2018-03-29T20:34:22Z,Single,Sencillo,85,0,11,1,R,608665,3c9ee836-f791-4597-82ec-ddf9c1f09494,1,T,R,203217,2018-03-29T20:32:17Z
11,1,1,5-10,472528,Luis Valbuena pops out to third baseman Matt Chapman in foul territory.  ,Luis Valbuena batea elevadito de out a tercera base Matt Chapman en territorio de foul.  ,2018-03-29T20:36:32Z,Pop Out,Elevado de Out,92,0,12,2,R,608665,1a14094e-2bf2-4c4d-b7cb-865b2f68fb24,1,,L,203430,2018-03-29T20:34:30Z
12,1,0,6-4,660271,Shohei Ohtani singles on a ground ball to right fielder Stephen Piscotty.   Andrelton Simmons to 2nd.  ,Shohei Ohtani pega sencillo con rodado a jardinero derecho Stephen Piscotty.   Andrelton Simmons a 2da.  ,2018-03-29T20:37:19Z,Single,Sencillo,97,0,13,2,R,608665,b6c61ee6-2fb8-46b2-8fcf-937eed0bab13,0,,L,203649,2018-03-29T20:36:49Z
13,2,1,6-0,455117,Martin Maldonado hits a ground-rule double (1) on a line drive to left field.   Andrelton Simmons scores.    Shohei Ohtani to 3rd.  ,Martin Maldonado pega doble por reglas de terreno (1) con línea al jardín izquierdo.   Andrelton Simmons anota  Shohei Ohtani a 3ra.  ,2018-03-29T20:39:34Z,Double,Doble,106,0,14,2,R,608665,139a11aa-d6ce-4beb-aea7-c8ba68171005,1,T,R,203741,2018-03-29T20:37:41Z
14,2,2,6-0,446359,Zack Cozart flies out to center fielder Boog Powell.  ,Zack Cozart batea elevado de out a jardinero central Boog Powell.  ,2018-03-29T20:42:16Z,Flyout,Elevado de Out,115,0,15,3,R,608665,7e3abb4a-419b-41c7-b6ad-5a5b09027504,2,,R,203954,2018-03-29T20:39:54Z
15,2,1,6-3,572039,"Stephen Piscotty grounds out, shortstop Andrelton Simmons to first baseman Albert Pujols.  ","Stephen Piscotty batea rodado de out, campo corto Andrelton Simmons a primera base Albert Pujols.  ",2018-03-29T20:45:19Z,Groundout,Roletazo de Out,123,0,16,1,R,572070,18aae957-ce77-4ce3-98b6-8c3d88beb521,1,,R,204413,2018-03-29T20:44:13Z
16,2,1,6-0,656305,Matt Chapman pops out to second baseman Zack Cozart.  ,Matt Chapman batea elevadito de out a segunda base Zack Cozart.  ,2018-03-29T20:46:30Z,Pop Out,Elevado de Out,129,0,17,2,R,572070,9268fa50-a2f4-477b-a868-070e3c5b53b0,1,,R,204527,2018-03-29T20:45:27Z
17,2,2,6-0,518960,Jonathan Lucroy singles on a ground ball to center fielder Mike Trout.  ,Jonathan Lucroy pega sencillo con rodado a jardinero central Mike Trout.  ,2018-03-29T20:48:55Z,Single,Sencillo,137,0,18,2,R,572070,33c9efd4-0fd8-43ac-9cdf-5fa0fe64973e,2,,R,204645,2018-03-29T20:46:45Z
18,2,1,5-10,621471,Boog Powell doubles (1) on a ground ball to left fielder Justin Upton.   Jonathan Lucroy to 3rd.  ,Boog Powell pega doble (1) con rodado a jardinero izquierdo Justin Upton.   Jonathan Lucroy a 3ra.  ,2018-03-29T20:52:14Z,Double,Doble,146,0,19,2,R,572070,6eca300c-a054-466d-ad07-9c5b8f71ca31,2,,L,204908,2018-03-29T20:49:08Z
19,2,0,6-2,459964,Matt Joyce strikes out swinging.  ,Matt Joyce se poncha tirándole.  ,2018-03-29T20:54:29Z,Strikeout,Ponche,152,0,20,3,R,572070,27a0af59-02e3-4c03-a67e-5a79eb94fd4c,3,,L,205224,2018-03-29T20:52:24Z
20,2,1,6-2,545361,Mike Trout flies out to right fielder Stephen Piscotty.  ,Mike Trout batea elevado de out a jardinero derecho Stephen Piscotty.  ,2018-03-29T20:57:42Z,Flyout,Elevado de Out,160,0,21,1,R,608665,d4cf97b9-b1dc-40a1-bcce-0f9c96a7e66c,1,,R,205636,2018-03-29T20:56:36Z
21,2,2,6-2,457708,"Justin Upton grounds out, third baseman Matt Chapman to first baseman Matt Olson.  ","Justin Upton batea rodado de out, tercera base Matt Chapman a primera base Matt Olson.  ",2018-03-29T21:00:08Z,Groundout,Roletazo de Out,169,0,22,2,R,608665,2bd9cf54-8064-4d14-a32d-e120432b9008,2,,R,205758,2018-03-29T20:57:58Z
22,2,2,6-3,405395,"Albert Pujols grounds out, third baseman Matt Chapman to first baseman Matt Olson.  ","Albert Pujols batea rodado de out, tercera base Matt Chapman a primera base Matt Olson.  ",2018-03-29T21:03:14Z,Groundout,Roletazo de Out,179,0,23,3,R,608665,5e341615-19b4-4a57-956d-89ef0c0965d5,2,,R,210020,2018-03-29T21:00:20Z
23,2,1,6-0,543760,"Marcus Semien grounds out, third baseman Luis Valbuena to first baseman Albert Pujols.  ","Marcus Semien batea rodado de out, tercera base Luis Valbuena a primera base Albert Pujols.  ",2018-03-29T21:06:43Z,Groundout,Roletazo de Out,187,0,24,1,R,572070,f4632bea-053c-41d6-a69e-896e8413ce72,2,,R,210514,2018-03-29T21:05:14Z
24,2,0,6-0,476704,Jed Lowrie singles on a line drive to left fielder Justin Upton.  ,Jed Lowrie pega sencillo con línea a jardinero izquierdo Justin Upton.  ,2018-03-29T21:07:26Z,Single,Sencillo,191,0,25,1,R,572070,d884bd4e-e2db-4f5d-b3a4-05961e53088a,0,,L,210658,2018-03-29T21:06:58Z
25,2,0,5-10,501981,"Khris Davis grounds into a double play, second baseman Zack Cozart to shortstop Andrelton Simmons to first baseman Albert Pujols.   Jed Lowrie out at 2nd.  ","Khris Davis batea rodado batea para doble matanza, segunda base Zack Cozart a campo corto Andrelton Simmons a primera base Albert Pujols.   Jed Lowrie a cabo a 2da.  ",2018-03-29T21:08:14Z,Grounded Into DP,Roletazo de Doble Play,196,0,26,3,R,572070,312f13fd-7fed-4456-9b0b-26aaf5d46ba3,0,,R,210753,2018-03-29T21:07:53Z
26,3,3,5-10,594777,Kole Calhoun homers (1) on a fly ball to left center field.  ,Kole Calhoun batea jonrón (1) con elevado entre los jardines izquierdo y central.  ,2018-03-29T21:11:54Z,Home Run,Jonrón,206,0,27,0,R,608665,3334938d-21ee-4878-a686-c7e08d3643a2,1,T,L,210959,2018-03-29T21:09:59Z
27,3,1,6-2,592743,"Andrelton Simmons grounds out, shortstop Marcus Semien to first baseman Matt Olson.  ","Andrelton Simmons batea rodado de out, campo corto Marcus Semien a primera base Matt Olson.  ",2018-03-29T21:12:57Z,Groundout,Roletazo de Out,211,0,28,1,R,608665,0a195e03-5c37-4e69-aee1-ff779c708d15,0,,R,211211,2018-03-29T21:12:11Z
28,3,1,5-10,472528,Luis Valbuena pops out to shortstop Marcus Semien.  ,Luis Valbuena batea elevadito de out a campo corto Marcus Semien.  ,2018-03-29T21:14:58Z,Pop Out,Elevado de Out,218,0,29,2,R,608665,89d72b9e-72ae-421b-bf10-c3ffa23eb87b,2,,L,211316,2018-03-29T21:13:16Z
29,3,1,6-4,660271,"Shohei Ohtani grounds out, second baseman Jed Lowrie to first baseman Matt Olson.  ","Shohei Ohtani batea rodado de out, segunda base Jed Lowrie a primera base Matt Olson.  ",2018-03-29T21:15:42Z,Groundout,Roletazo de Out,223,0,30,3,R,608665,f03e7197-aed6-4325-933e-097ee604a2b7,0,,L,211506,2018-03-29T21:15:06Z
30,3,3,6-5,621566,Matt Olson pops out to third baseman Luis Valbuena in foul territory.  ,Matt Olson batea elevadito de out a tercera base Luis Valbuena en territorio de foul.  ,2018-03-29T21:19:48Z,Pop Out,Elevado de Out,232,0,31,1,R,572070,53cbae3c-680b-4d61-be04-77457a6aef34,1,,L,211738,2018-03-29T21:17:38Z
31,3,0,6-3,572039,"Stephen Piscotty grounds out, shortstop Andrelton Simmons to first baseman Albert Pujols.  ","Stephen Piscotty batea rodado de out, campo corto Andrelton Simmons a primera base Albert Pujols.  ",2018-03-29T21:21:35Z,Groundout,Roletazo de Out,238,0,32,2,R,572070,0bbf051a-cfe9-48af-99d7-5cbe2896ce86,2,,R,212001,2018-03-29T21:20:01Z
32,3,4,6-0,656305,Matt Chapman walks.  ,Matt Chapman recibe base por bolas.  ,2018-03-29T21:22:44Z,Walk,Base por Bolas,245,0,33,2,R,572070,504d2d99-c1aa-427f-8259-9d6d306f938a,0,,R,212136,2018-03-29T21:21:36Z
33,3,3,6-0,518960,Jonathan Lucroy pops out to second baseman Zack Cozart.  ,Jonathan Lucroy batea elevadito de out a segunda base Zack Cozart.  ,2018-03-29T21:26:12Z,Pop Out,Elevado de Out,255,0,34,3,R,572070,d2023b4d-de23-4ced-a658-bba88f73eecb,1,,R,212310,2018-03-29T21:23:10Z
34,3,1,6-0,455117,Martin Maldonado lines out sharply to right fielder Stephen Piscotty.  ,Martin Maldonado batea línea de out fuertemente a jardinero derecho Stephen Piscotty.  ,2018-03-29T21:29:04Z,Lineout,Línea de Out,263,0,35,1,R,608665,d1c788cc-7d2b-42f5-9ebe-c78e7aa20647,1,,R,212810,2018-03-29T21:28:10Z
35,4,0,6-0,446359,Zack Cozart homers (1) on a fly ball to left field.  ,Zack Cozart batea jonrón (1) con elevado por el jardín izquierdo.  ,2018-03-29T21:29:35Z,Home Run,Jonrón,268,0,36,1,R,608665,3665b2ec-fc43-4df3-972d-873e688f40c2,0,T,R,212913,2018-03-29T21:29:13Z
36,4,1,6-2,545361,"Mike Trout grounds out, third baseman Matt Chapman to first baseman Matt Olson.  ","Mike Trout batea rodado de out, tercera base Matt Chapman a primera base Matt Olson.  ",2018-03-29T21:30:49Z,Groundout,Roletazo de Out,274,0,37,2,R,608665,a3ad53cf-cef8-4526-b28c-5423cbea4f4e,1,,R,213001,2018-03-29T21:30:01Z
37,4,0,6-2,457708,Justin Upton lines out to left fielder Matt Joyce.  ,Justin Upton batea línea de out a jardinero izquierdo Matt Joyce.  ,2018-03-29T21:31:47Z,Lineout,Línea de Out,279,0,38,3,R,608665,e4fab291-08e2-4ce6-ae8d-1a95d624d30b,1,,R,213106,2018-03-29T21:31:06Z
38,4,2,5-10,621471,Boog Powell lines out to second baseman Zack Cozart.  ,Boog Powell batea línea de out a segunda base Zack Cozart.  ,2018-03-29T21:34:53Z,Lineout,Línea de Out,287,0,39,1,R,572070,cac32f86-9b37-4710-884f-7917e1034ade,1,,L,213338,2018-03-29T21:33:38Z
39,4,4,6-2,459964,Matt Joyce walks.  ,Matt Joyce recibe base por bolas.  ,2018-03-29T21:37:01Z,Walk,Base por Bolas,295,0,40,1,R,572070,cccda878-dbc1-44e8-b14d-ee3f04757988,1,,L,213454,2018-03-29T21:34:54Z
40,4,4,6-0,543760,Marcus Semien walks.   Matt Joyce to 2nd.  ,Marcus Semien recibe base por bolas.   Matt Joyce a 2da.  ,2018-03-29T21:39:58Z,Walk,Base por Bolas,305,0,41,1,R,572070,34563380-162e-46f0-9618-fa5cd60e146e,2,,R,213716,2018-03-29T21:37:16Z
41,4,1,6-0,476704,Jed Lowrie strikes out swinging.  ,Jed Lowrie se poncha tirándole.  ,2018-03-29T21:43:24Z,Strikeout,Ponche,313,0,42,2,R,572070,bb9b99f2-c774-4863-8d24-20e85b7dd71a,3,,L,214107,2018-03-29T21:41:07Z
42,4,2,5-10,501981,Khris Davis homers (1) on a line drive to center field.   Matt Joyce scores.    Marcus Semien scores.  ,Khris Davis batea jonrón (1) con línea por el jardín central.   Matt Joyce anota  Marcus Semien anota .  ,2018-03-29T21:46:42Z,Home Run,Jonrón,326,3,43,2,R,572070,d66966cb-facd-4be9-ac6c-6b0e08502ade,2,T,R,214334,2018-03-29T21:43:34Z
43,4,0,6-5,621566,Matt Olson homers (1) on a line drive to right field.  ,Matt Olson batea jonrón (1) con línea por el jardín derecho.  ,2018-03-29T21:48:05Z,Home Run,Jonrón,332,4,44,2,R,572070,5b7b4c4a-2adf-44c5-b222-abcb01ac2259,1,T,L,214714,2018-03-29T21:47:14Z
44,4,0,6-3,572039,Stephen Piscotty strikes out swinging.  ,Stephen Piscotty se poncha tirándole.  ,2018-03-29T21:49:56Z,Strikeout,Ponche,339,4,45,3,R,572070,0008d6a6-5268-4dde-b73f-73c649185419,3,,R,214826,2018-03-29T21:48:26Z
